product_id;X0;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77
151926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;129.75;259.5;233.54999999999998;233.54999999999998;207.6;181.65;129.75;207.6;129.75;103.8;51.9;233.54999999999998;51.9;103.8;155.7;155.7;103.8;155.7;155.7
213413;;;;59.849999999999994;159.6;259.34999999999997;518.6999999999999;418.95;179.54999999999998;279.3;239.39999999999998;538.65;319.2;159.6;199.5;259.34999999999997;279.3;119.69999999999999;159.6;219.45;159.6;179.54999999999998;79.8;119.69999999999999;39.9;199.5;79.8;119.69999999999999;79.8;159.6;159.6;99.75;119.69999999999999;199.5;119.69999999999999;199.5;159.6;99.75;59.849999999999994;359.09999999999997;199.5;179.54999999999998;139.65;119.69999999999999;139.65;99.75;119.69999999999999;79.8;159.6;59.849999999999994;79.8;99.75;139.65;139.65;59.849999999999994;159.6;39.9;239.39999999999998;79.8;79.8;139.65;119.69999999999999;179.54999999999998;59.849999999999994;119.69999999999999;39.9;139.65;139.65;99.75;99.75;119.69999999999999;139.65;159.6;19.95;199.5;159.6;199.5;179.54999999999998
310130;142.45;168.35;181.29999999999998;194.25;220.14999999999998;233.1;207.2;233.1;233.1;194.25;181.29999999999998;233.1;194.25;103.6;233.1;155.39999999999998;142.45;129.5;116.55;25.9;77.69999999999999;90.64999999999999;64.75;77.69999999999999;25.9;64.75;142.45;142.45;64.75;155.39999999999998;12.95;64.75;25.9;64.75;77.69999999999999;116.55;12.95;77.69999999999999;25.9;0.0;64.75;90.64999999999999;25.9;12.95;25.9;38.849999999999994;64.75;103.6;51.8;12.95;64.75;38.849999999999994;12.95;38.849999999999994;25.9;64.75;51.8;38.849999999999994;25.9;25.9;25.9;90.64999999999999;90.64999999999999;25.9;25.9;25.9;64.75;64.75;25.9;25.9;77.69999999999999;38.849999999999994;25.9;64.75;0.0;64.75;64.75;129.5
455200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.8;29.95;29.95;59.9;0.0;0.0;89.85;0.0;0.0;59.9;0.0;29.95;0.0;29.95;0.0;29.95;0.0;0.0;29.95;0.0;29.95;0.0;0.0;0.0;0.0;29.95;29.95;0.0;59.9;0.0;0.0;0.0;0.0;59.9;0.0
571044;;;;;;;;;;;;;;;;;;127.6;175.45;111.64999999999999;143.54999999999998;271.15;111.64999999999999;271.15;63.8;255.2;143.54999999999998;159.5;366.84999999999997;127.6;143.54999999999998;127.6;382.79999999999995;223.29999999999998;159.5;111.64999999999999;127.6;95.69999999999999;79.75;127.6;95.69999999999999;95.69999999999999;63.8;47.849999999999994;31.9;111.64999999999999;95.69999999999999;95.69999999999999;111.64999999999999;63.8;111.64999999999999;79.75;127.6;79.75;79.75;47.849999999999994;47.849999999999994;127.6;47.849999999999994;111.64999999999999;79.75;95.69999999999999;47.849999999999994;31.9;47.849999999999994;31.9;95.69999999999999;31.9;15.95;15.95;47.849999999999994;31.9;63.8;63.8;15.95;47.849999999999994;79.75;15.95
658552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;882.3;1608.8999999999999;908.25;700.65;648.75;856.35;389.25;596.85;467.09999999999997;493.05;389.25;493.05;544.9499999999999;544.9499999999999;493.05;726.6;415.2;467.09999999999997;441.15;519.0;389.25;441.15;570.9;441.15;674.6999999999999;596.85
671985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;419.3;329.45;688.85;239.6;299.5;239.6;239.6;389.34999999999997;329.45;89.85;149.75;239.6;269.55;59.9;149.75;269.55;239.6;89.85;149.75;59.9;239.6;179.7;419.3;89.85;59.9;149.75;0.0;179.7;89.85;59.9;29.95;119.8;149.75;29.95;89.85;149.75;89.85;119.8;59.9;119.8;59.9;59.9;149.75;29.95;119.8;0.0
759150;;;;;;;;;;;0.0;0.0;0.0;0.0;17.95;17.95;17.95;0.0;71.8;35.9;17.95;35.9;35.9;17.95;0.0;0.0;53.849999999999994;0.0;17.95;35.9;35.9;53.849999999999994;107.69999999999999;17.95;0.0;53.849999999999994;0.0;35.9;0.0;53.849999999999994;0.0;17.95;53.849999999999994;0.0;17.95;35.9;53.849999999999994;35.9;0.0;0.0;35.9;0.0;35.9;17.95;0.0;17.95;53.849999999999994;;17.95;17.95;53.849999999999994;35.9;;;;0.0;17.95;;;17.95;17.95;;;17.95;;;;
836635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;79.9;439.45000000000005;159.8;319.6;199.75;119.85000000000001;239.70000000000002;119.85000000000001;159.8;359.55;559.3000000000001;119.85000000000001;559.3000000000001;199.75;239.70000000000002;359.55;519.35;599.25;79.9
928389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;868.55;838.6;269.55;419.3;299.5;299.5;329.45;299.5;239.6;329.45;179.7;119.8;239.6;209.65
